id	created_at	match_text	response_text	src	dst	updated_at	ndx
65078637-9862-4682-8bbe-0a52ed29bf6b	2025-05-30 14:42:23.911194 +00:00	n/a	n/a	89eddcb8-7fe5-4cd1-b18b-78858f0789fb	95441b9a-3636-4f45-bd0a-ec35e84dd5f7	2025-05-30 14:42:23.911194 +00:00	0
ed53f6d3-3e66-4321-9ba7-ad3c36e79eb4	2025-05-30 14:42:23.915794 +00:00	n/a	n/a	0b2861b6-a16a-4197-910a-158610967dd9	3f467ee3-4874-4ad1-82b1-99be06f575ab	2025-05-30 14:42:23.915794 +00:00	0
31ec69f2-c618-492a-aaa7-68bb6a4475f5	2025-05-30 14:42:23.916691 +00:00	n/a	n/a	385a1f99-d844-42e6-9fa3-a0e3a116757d	1bda7846-31b4-4983-92ec-161eba46c758	2025-05-30 14:42:23.916691 +00:00	0
77ff5c56-ac17-4410-8cf9-439b34e7c587	2025-05-30 14:42:23.916979 +00:00	n/a	n/a	b48d36ce-2512-4ee0-a9b9-b743d72e95e9	23f00a69-55b7-4c29-b777-5c278b7088ed	2025-05-30 14:42:23.916979 +00:00	0
4bce9e23-2dc4-42d9-aea9-94744a74d005	2025-05-19 15:08:35.243008 +00:00	NOOP	NOOP	f9420f0c-81ca-4f9a-b1d4-7e25fd280399	89eddcb8-7fe5-4cd1-b18b-78858f0789fb	2025-05-19 15:08:35.243008 +00:00	0
d9d9d89b-3047-4b18-8c97-5fb870fc1ced	2025-05-16 03:11:01.158897 +00:00	1|red	Red is the color of life.	95441b9a-3636-4f45-bd0a-ec35e84dd5f7	b48d36ce-2512-4ee0-a9b9-b743d72e95e9	2025-05-16 03:11:01.158897 +00:00	1
fee09a2a-5595-43a9-8228-72182789800e	2025-05-16 03:11:02.759166 +00:00	2|blue	Blue is my fave, as well.	95441b9a-3636-4f45-bd0a-ec35e84dd5f7	385a1f99-d844-42e6-9fa3-a0e3a116757d	2025-05-16 03:11:02.759166 +00:00	2
49a0e06a-fff6-4bbc-91f7-fcda4b800cc4	2025-05-16 03:11:03.991512 +00:00	3|flort	Flort is for the cool kids.	95441b9a-3636-4f45-bd0a-ec35e84dd5f7	0b2861b6-a16a-4197-910a-158610967dd9	2025-05-16 03:11:03.991512 +00:00	3
e3c895c7-9318-4597-b99d-8b647f1da409	2025-05-17 22:57:47.355407 +00:00	1|fork	Good for stabbing your food!	1bda7846-31b4-4983-92ec-161eba46c758	f9420f0c-81ca-4f9a-b1d4-7e25fd280399	2025-05-17 22:57:47.355407 +00:00	1
731d8193-c8f8-4ce0-ac90-026371bdc927	2025-05-17 22:57:48.635953 +00:00	2|knife	Cut it into little pieces!	1bda7846-31b4-4983-92ec-161eba46c758	f9420f0c-81ca-4f9a-b1d4-7e25fd280399	2025-05-17 22:57:48.635953 +00:00	2
43e373db-4e32-42fa-9039-12e69aa30223	2025-05-17 22:57:48.950839 +00:00	3|spoon	I guess you like soup!	1bda7846-31b4-4983-92ec-161eba46c758	f9420f0c-81ca-4f9a-b1d4-7e25fd280399	2025-05-17 22:57:48.950839 +00:00	3
190dc5a3-fab2-49c5-b475-242d8e06292f	2025-05-17 22:45:56.990779 +00:00	1|triangle	Triangles are so pointy!	23f00a69-55b7-4c29-b777-5c278b7088ed	f9420f0c-81ca-4f9a-b1d4-7e25fd280399	2025-05-17 22:45:56.990779 +00:00	1
1a5aabc0-74f2-4faf-a1fa-783e412d4db9	2025-05-17 22:46:23.916915 +00:00	2|square	Squares are for squares!	23f00a69-55b7-4c29-b777-5c278b7088ed	f9420f0c-81ca-4f9a-b1d4-7e25fd280399	2025-05-17 22:46:23.916915 +00:00	2
6da7f442-71f2-431c-8e9c-3d758c5b18de	2025-05-17 22:46:26.718991 +00:00	3|circle	Circles go round and round!	23f00a69-55b7-4c29-b777-5c278b7088ed	f9420f0c-81ca-4f9a-b1d4-7e25fd280399	2025-05-17 22:46:26.718991 +00:00	3
b71f650a-e48a-4eb2-9909-33327e99050f	2025-05-17 23:09:09.192974 +00:00	1|shemp	Shemp was fire!	3f467ee3-4874-4ad1-82b1-99be06f575ab	f9420f0c-81ca-4f9a-b1d4-7e25fd280399	2025-05-17 23:09:09.192974 +00:00	1
e3817413-e1fa-4d60-b049-a1c0083ebbd2	2025-05-17 23:09:09.752621 +00:00	2|curly	Curly was dope!	3f467ee3-4874-4ad1-82b1-99be06f575ab	f9420f0c-81ca-4f9a-b1d4-7e25fd280399	2025-05-17 23:09:09.752621 +00:00	2
fb487221-d767-43fc-a17f-0b0cd89a7e78	2025-05-17 23:09:10.352051 +00:00	3|iggy	Oops, wrong Stooges!	3f467ee3-4874-4ad1-82b1-99be06f575ab	f9420f0c-81ca-4f9a-b1d4-7e25fd280399	2025-05-17 23:09:10.352051 +00:00	3
