id	created_at	match_text	response_text	src	dst	updated_at
20ba3097-2f74-4ce5-a4e5-102dcb3a50dc	2025-06-11 13:26:03.674091 +00:00	n/a	n/a	8da657ae-32d2-4fc1-8d27-2cfcd48858f6	null	2025-06-11 13:26:03.674091 +00:00
056e6fb7-05a2-4646-b40c-851c9c6d1081	2025-06-11 13:26:03.674143 +00:00	n/a	n/a	0fc4ef6c-082f-4e90-b2f4-e14dbac78623	ed0fbc0d-a3e3-40b4-91a4-9be24803e2db	2025-06-11 13:26:03.674143 +00:00
9101f6c0-3329-4284-9b8c-ae635360431a	2025-06-11 13:26:03.674201 +00:00	n/a	n/a	ec4bb0f2-124f-4755-8331-40f64ce24940	35b8b472-fe8c-4201-895c-d2b128fdde32	2025-06-11 13:26:03.674201 +00:00
ffc67bd4-51fd-4fb4-85f5-11bf5a5f00f8	2025-06-11 13:26:03.674310 +00:00	n/a	n/a	a77300e2-d7a7-40ea-bd0a-0d957a3ff5b5	1b76e670-f683-4863-a30d-9262c3664a82	2025-06-11 13:26:03.674310 +00:00
83d2e3e6-fa99-4c08-993b-74f43ff19e63	2025-06-11 13:26:03.674414 +00:00	n/a	n/a	369d49d1-6c17-4afe-a6c1-ba01026798f3	eff5596e-c39a-432c-8dd5-7fd596d8182d	2025-06-11 13:26:03.674414 +00:00
041cd7cb-5fbf-41ce-97d1-4708d70f1958	2025-06-11 13:26:03.674178 +00:00	1|veg|vegetable|vegetables	Vegetables are tasty and good for you!	ed0fbc0d-a3e3-40b4-91a4-9be24803e2db	ec4bb0f2-124f-4755-8331-40f64ce24940	2025-06-11 13:26:03.674178 +00:00
af8f80db-79bf-43c1-9362-1f330da7df08	2025-06-11 13:26:03.674275 +00:00	2|meat	Too much meat isn't good for you but so delish!	ed0fbc0d-a3e3-40b4-91a4-9be24803e2db	a77300e2-d7a7-40ea-bd0a-0d957a3ff5b5	2025-06-11 13:26:03.674275 +00:00
341df59c-b544-4435-9110-fa7fd2673eb8	2025-06-11 13:26:03.674396 +00:00	3|fruit	Fruit is like nature's dessert!	ed0fbc0d-a3e3-40b4-91a4-9be24803e2db	369d49d1-6c17-4afe-a6c1-ba01026798f3	2025-06-11 13:26:03.674396 +00:00
01eff2e7-d605-4cb3-a498-9c93ad2d32c0	2025-06-11 13:26:03.674217 +00:00	1|carrot|carrots	Cold dipped in hummus, oh so good!	35b8b472-fe8c-4201-895c-d2b128fdde32	8da657ae-32d2-4fc1-8d27-2cfcd48858f6	2025-06-11 13:26:03.674217 +00:00
c5de2fd4-f89b-45c0-881f-aa5ab1b5326c	2025-06-11 13:26:03.674235 +00:00	2|broc|broccoli|brocolli	Steamed and dipped in butter, amazing!	35b8b472-fe8c-4201-895c-d2b128fdde32	8da657ae-32d2-4fc1-8d27-2cfcd48858f6	2025-06-11 13:26:03.674235 +00:00
8e52ae5f-e2e8-4e1d-af93-4a8f6ff143eb	2025-06-11 13:26:03.674255 +00:00	3|pepper|peppers	Stuffed or sliced and served with pasta, yum!	35b8b472-fe8c-4201-895c-d2b128fdde32	8da657ae-32d2-4fc1-8d27-2cfcd48858f6	2025-06-11 13:26:03.674255 +00:00
055e7de8-740e-4e0d-b092-c9cdc2517728	2025-06-11 13:26:03.674342 +00:00	1|beef	Steaks and burgers. Drool!	1b76e670-f683-4863-a30d-9262c3664a82	8da657ae-32d2-4fc1-8d27-2cfcd48858f6	2025-06-11 13:26:03.674342 +00:00
c1a8c501-7886-48e4-8b50-c854c26cbd06	2025-06-11 13:26:03.674351 +00:00	2|pork	Pulled or shredded. It's all good!	1b76e670-f683-4863-a30d-9262c3664a82	8da657ae-32d2-4fc1-8d27-2cfcd48858f6	2025-06-11 13:26:03.674351 +00:00
06cbb51f-7ac5-47a4-9ccf-eb6b93cf3d52	2025-06-11 13:26:03.674366 +00:00	3|carrot	Fried or grilled in a salad. Love it!	1b76e670-f683-4863-a30d-9262c3664a82	8da657ae-32d2-4fc1-8d27-2cfcd48858f6	2025-06-11 13:26:03.674366 +00:00
a2810868-6db9-428c-9336-809fc46ad15f	2025-06-11 13:26:03.674428 +00:00	1|apple	Sweet, tart and everything in between!	eff5596e-c39a-432c-8dd5-7fd596d8182d	8da657ae-32d2-4fc1-8d27-2cfcd48858f6	2025-06-11 13:26:03.674428 +00:00
9d0ceae7-cf8d-4abb-8d24-477d59883333	2025-06-11 13:26:03.674443 +00:00	2|banana	Delicious and comes in its own comedic prop!	eff5596e-c39a-432c-8dd5-7fd596d8182d	8da657ae-32d2-4fc1-8d27-2cfcd48858f6	2025-06-11 13:26:03.674443 +00:00
631f5998-aa30-4450-9f6c-ddeba77ffb9f	2025-06-11 13:26:03.674458 +00:00	3|grapes	Green or red. Even better fermented ;-)!	eff5596e-c39a-432c-8dd5-7fd596d8182d	8da657ae-32d2-4fc1-8d27-2cfcd48858f6	2025-06-11 13:26:03.674458 +00:00
